Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.35,inf,20,0.95,False,inf,0.00409011800013559,20,0,0,530.2931420100068,9209,inf,553.070480014
SGM,0.15,0.0,20,0.95,False,5.0,0.004523332000417213,20,0,0,594.9222846149853,10757,inf,621.3681452590001
SGM,0.25,5000.0,20,0.95,False,5.0,0.00478849500132128,20,0,0,594.850376306978,10465,459.1001057190001,621.0212361449999
SGM,0.4,10000.0,20,0.95,False,5.0,0.004945315998611477,20,0,0,586.1057576319713,9071,476.2527131459997,611.7472856349996
SGM,0.5,15000.0,20,0.95,False,5.0,0.005230408000898024,20,0,0,530.0755279019659,8175,506.4656613950001,552.8338308089997
SGM,0.55,20000.0,20,0.95,False,5.0,0.005093115000818216,20,0,0,504.820168443016,7819,496.65452171800007,526.3934945159999
SGM,0.5,25000.0,20,0.95,False,5.0,0.005454462999296084,20,0,0,543.4967276190118,8256,475.67700105699987,566.577573343
SGM,0.5,30000.0,20,0.95,False,5.0,0.004157257002589176,20,0,0,511.32277283385883,8012,494.8178364409996,533.1287926689993
SGM,0.5,35000.0,20,0.95,False,5.0,0.004642885001885588,20,0,0,516.5092361899042,8116,513.4466172089997,538.7588902280004
SGM,0.65,40000.0,20,0.95,False,5.0,0.005504210994331515,20,0,0,454.2202154349998,6763,497.84892301000036,472.6191347560016
