Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.4,inf,15,0.95,False,inf,0.1491937170002302,15,0,0,740.0842931169911,7760,inf,760.4793045019999
SoRB,0.0,0.0,15,0.95,False,5.0,0.014087992000668237,15,15,0,441.84921203699946,15,inf,441.91531705600005
SoRB,0.0,1000.0,15,0.95,False,5.0,0.017819950000557583,15,15,0,454.0767125029997,15,3339.975184589,454.14369008799986
SoRB,0.0,2000.0,15,0.95,False,5.0,0.01709168200250133,15,15,0,435.3658245099941,15,2951.748157537,435.44063585300137
SoRB,0.0,3000.0,15,0.95,False,5.0,0.014896868995492696,15,15,0,463.48331138300455,15,4433.205870828,463.5619428589998
SoRB,0.0,4000.0,15,0.95,False,5.0,0.01419305199306109,15,15,0,407.7504330470001,15,3088.260603533001,407.8115820669991
SoRB,0.0,5000.0,15,0.95,False,5.0,0.013146163011697354,15,15,0,407.8739410380076,15,2965.56319031,407.9311501990014
SoRB,0.0,6000.0,15,0.95,False,5.0,0.009492006000073161,15,15,0,401.22930608199385,15,3227.6518560930017,401.2840155019985
SoRB,0.0,7000.0,15,0.95,False,5.0,0.012990858995181043,15,15,0,410.4425554180016,15,3364.1240486060015,410.5009978260023
SoRB,0.0,8000.0,15,0.95,False,5.0,0.014962663997721393,15,15,0,408.9287546209962,15,3339.9747820369994,408.9860964990039
