Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.00848675800023102,20,0,0,664.9799655009958,12000,inf,695.6244955940001
SGM,0.3,0.0,20,0.95,False,5.0,0.006191166000689918,20,0,0,548.5652349449858,10295,inf,573.2778272680002
SGM,0.4,5000.0,20,0.95,False,5.0,0.006126935999418492,20,0,0,537.4567693330168,10014,461.5880287920004,561.6022444220002
SGM,0.55,10000.0,20,0.95,False,5.0,0.007851752000533452,20,0,0,498.38218969601076,7437,479.45675304199995,519.7386890489997
SGM,0.6,15000.0,20,0.95,False,5.0,0.007792813999003556,20,0,0,498.67328643297606,7581,541.698851055,520.3982377600005
SGM,0.5,20000.0,20,0.95,False,5.0,0.0067283639991728705,20,0,0,489.608080020972,8477,456.861674234,511.11496817700026
SGM,0.7,25000.0,20,0.95,False,5.0,0.006551090001266857,20,0,0,376.79827232895786,6201,457.63709407900024,392.6815541820006
SGM,0.75,30000.0,20,0.95,False,5.0,0.0073697780035217875,20,0,0,382.59186725901145,5808,467.7260263930002,398.4495904179994
SGM,0.95,35000.0,20,0.95,False,5.0,0.006710337002004962,20,0,0,285.08219529900634,4440,446.40606521599966,296.11104758299916
SGM,0.8,40000.0,20,0.95,False,5.0,0.007907764007541118,20,0,0,333.97222957793383,4715,503.37062805499954,346.7847310949983
SGM,0.75,45000.0,20,0.95,False,5.0,0.006471192999015329,20,0,0,341.02333198798624,5107,488.97486362199925,354.7271434079994
SGM,0.8,50000.0,20,0.95,False,5.0,0.007350289002715726,20,0,0,322.9022879390868,4613,500.8877131520003,335.3147705029987
