Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.00513027600001692,20,0,0,728.7728443539941,12000,inf,765.297325314
SGM,0.0,0.0,20,0.95,False,5.0,0.005354473000579674,20,0,0,738.4760431929943,12000,inf,775.550311224
SGM,0.0,5000.0,20,0.95,False,5.0,0.005231960999481089,20,0,0,741.7022364229779,12000,525.8813874780003,778.3352820999999
SGM,0.0,10000.0,20,0.95,False,5.0,0.00536959900000511,20,0,0,724.4348415829832,12000,512.5696476039998,760.5197112149999
SGM,0.0,15000.0,20,0.95,False,5.0,0.0050441969997336855,20,0,0,648.7962468999704,12000,505.1289617319999,681.5519186190004
SGM,0.0,20000.0,20,0.95,False,5.0,0.004925621000438696,20,0,0,702.6637907669892,12000,500.72810286999993,738.3017770379993
SGM,0.0,25000.0,20,0.95,False,5.0,0.004392282998196606,20,0,0,733.0508174159559,12000,481.0251939559994,769.135403577
SGM,0.0,30000.0,20,0.95,False,5.0,0.006256841003050795,20,0,0,707.1475150819679,12000,471.8496796240006,741.8222803829995
SGM,0.0,35000.0,20,0.95,False,5.0,0.005673687999660615,20,0,0,703.556821459937,12000,475.8184468849995,738.4736348779988
SGM,0.0,40000.0,20,0.95,False,5.0,0.005787991996839992,20,0,0,712.5075131019548,12000,480.26925221000056,747.6088459109997
SGM,0.0,45000.0,20,0.95,False,5.0,0.005394894005803508,20,0,0,703.3539430410583,12000,492.0540786519996,738.003422967
SGM,0.0,50000.0,20,0.95,False,5.0,0.004869593996772892,20,0,0,707.4541732670932,12000,481.31464277600026,742.2697413679998
