Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.0015725829998132212,20,0,0,509.25369395299475,12000,inf,537.471483253
SGM,0.0,0.0,20,0.95,False,5.0,0.001457751999851098,20,0,0,507.47768468699417,12000,inf,535.2795150610001
SGM,0.0,5000.0,20,0.95,False,5.0,0.0013669149998349894,20,0,0,506.58624531399596,12000,400.504179133,534.419819775
SGM,0.0,10000.0,20,0.95,False,5.0,0.0014345410008900217,20,0,0,515.3815364860002,12000,394.3775965059999,543.668254278
SGM,0.0,15000.0,20,0.95,False,5.0,0.001570909000292886,20,0,0,533.5171313719534,12000,422.73538791300007,562.804415346
SGM,0.0,20000.0,20,0.95,False,5.0,0.0015991230020517833,20,0,0,556.7195074639594,12000,430.06029006599965,587.4251716389999
SGM,0.0,25000.0,20,0.95,False,5.0,0.0016784870003903052,20,0,0,529.5365936960579,12000,438.73903620500005,558.9335030419998
SGM,0.0,30000.0,20,0.95,False,5.0,0.0015161580004132702,20,0,0,519.6912593340467,12000,413.6039085860002,548.6348798130002
SGM,0.0,35000.0,20,0.95,False,5.0,0.0015181059980022837,20,0,0,530.4280531950362,12000,412.720405602,559.9462061140002
SGM,0.0,40000.0,20,0.95,False,5.0,0.0015430830007971963,20,0,0,547.3638824430545,12000,412.2318357639997,577.8338701169996
SGM,0.0,45000.0,20,0.95,False,5.0,0.00154679200022656,20,0,0,531.2130108160636,12000,432.2085512800004,560.4082787059997
SGM,0.0,50000.0,20,0.95,False,5.0,0.0016684710044501116,20,0,0,567.5301956500061,12000,423.34002651599985,598.8916565130003
