Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.25,inf,20,0.95,False,inf,0.008045501000196964,20,0,0,437.7847539659954,9846,inf,458.521797181
SGM,0.25,0.0,20,0.95,False,5.0,0.006812253999441964,20,0,0,462.66428754000754,9691,inf,484.77168106299996
SGM,0.45,5000.0,20,0.95,False,5.0,0.006696662999729597,20,0,0,409.66513793603053,8857,411.1835795249999,428.6590703080001
SGM,0.45,10000.0,20,0.95,False,5.0,0.0066586389998519735,20,0,0,407.03015591999747,8834,365.8933017539998,425.79509205800014
SGM,0.4,15000.0,20,0.95,False,5.0,0.007342355000218959,20,0,0,403.0056124890243,8360,361.50546987200005,421.2992504600006
SGM,0.6,20000.0,20,0.95,False,5.0,0.006364043997564295,20,0,0,349.5787633240334,7103,375.40766112500023,364.9235780630006
SGM,0.55,25000.0,20,0.95,False,5.0,0.006923869000274863,20,0,0,354.3609287249956,7267,387.1931560289995,369.95543208100025
SGM,0.7,30000.0,20,0.95,False,5.0,0.00657900799978961,20,0,0,319.53446399802397,6506,370.3939919249997,333.36007227999926
SGM,0.8,35000.0,20,0.95,False,5.0,0.005984398998407414,20,0,0,283.6071084339792,5565,367.78029472099934,295.37295773000005
SGM,0.7,40000.0,20,0.95,False,5.0,0.006574642998202762,20,0,0,301.11320407108997,5900,373.28771007700016,313.7788879010004
SGM,0.65,45000.0,20,0.95,False,5.0,0.006292576001214911,20,0,0,320.457496651934,6443,375.3505995659998,334.37466166500053
SGM,0.6,50000.0,20,0.95,False,5.0,0.006391292999978759,20,0,0,330.55899407995275,6782,388.28886715599947,344.97829314699993
