Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SoRB,0.0,inf,20,0.95,False,inf,0.03388771000015822,20,5,2,826.28255968599,9005,inf,848.7644167440001
SoRB,0.15,0.0,20,0.95,False,5.0,0.011926637001124618,20,12,7,661.3131284160072,3342,inf,669.920172974
SoRB,0.5,5000.0,20,0.95,False,5.0,0.01934555200386967,20,9,4,617.2927503349929,1777,5785.783013155,622.1273101229999
SoRB,0.35,10000.0,20,0.95,False,5.0,0.01922524900328426,20,13,5,623.9823402539932,787,3212.5002943000018,626.3162536780001
SoRB,0.3,15000.0,20,0.95,False,5.0,0.014602418992581079,20,13,3,649.8729020580467,1283,3362.6178962620015,653.5557535380012
SoRB,0.35,20000.0,20,0.95,False,5.0,0.014538439001626102,20,12,5,595.2589687820437,1460,3435.058373742002,599.2148516239977
SoRB,0.25,25000.0,20,0.95,False,5.0,0.010251858999254182,20,14,5,612.9230676819316,1215,3080.6036411640016,616.2435548239991
SoRB,0.25,30000.0,20,0.95,False,5.0,0.011443415001849644,20,14,6,598.8953761519988,1234,2403.023582323003,602.1739485300022
SoRB,0.35,35000.0,20,0.95,False,5.0,0.015716147998318775,20,12,7,650.1450680501512,1580,3625.4953854960004,654.6116250029991
SoRB,0.35,40000.0,20,0.95,False,5.0,0.015426904006744735,20,13,2,606.5880907879982,831,2878.4123036469973,608.9386167289995
SoRB,0.55,45000.0,20,0.95,False,5.0,0.02277036101440899,20,8,3,655.9266519058365,2124,3094.5615171690006,661.8333477470005
SoRB,0.35,50000.0,20,0.95,False,5.0,0.013020943988522049,20,13,1,589.292694357966,887,2731.8853609170037,591.6809138419994
