Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.0042765490002523165,20,0,0,616.4012664319981,12000,inf,645.155288992
SGM,0.0,0.0,20,0.95,False,5.0,0.004132092999611814,20,0,0,611.6670507629967,12000,inf,640.253962736
SGM,0.0,10000.0,20,0.95,False,5.0,0.003280575999269786,20,0,0,634.6189626379783,12000,846.016434638,662.963670788
SGM,0.0,20000.0,20,0.95,False,5.0,0.003862229998503608,20,0,0,652.4239130080077,12000,869.0726536410002,681.8002698770001
SGM,0.0,30000.0,20,0.95,False,5.0,0.005207341002460453,20,0,0,708.0783118109339,12000,915.1622407919995,739.6510378229996
SGM,0.0,40000.0,20,0.95,False,5.0,0.002189141003327677,20,0,0,656.3484959549833,12000,828.262682773,685.5475596910001
SGM,0.0,50000.0,20,0.95,False,5.0,0.002537660004236386,20,0,0,659.1462770999115,12000,954.2363138539995,688.7265932070004
SGM,0.0,60000.0,20,0.95,False,5.0,0.002464876997692045,20,0,0,675.0623677719414,12000,925.4028323860002,704.3677938580004
SGM,0.0,70000.0,20,0.95,False,5.0,0.001921730998219573,20,0,0,674.0146972769599,12000,920.991084498999,703.2573863569996
SGM,0.0,80000.0,20,0.95,False,5.0,0.003423585998461931,20,0,0,657.2015159569019,12000,920.7594418869994,686.2839944010011
SGM,0.0,90000.0,20,0.95,False,5.0,0.0022044100041966885,20,0,0,659.3192190320242,12000,919.6454735119987,688.4202158280004
SGM,0.0,100000.0,20,0.95,False,5.0,0.0036653319948527496,20,0,0,691.3551891060924,12000,965.2148383450003,722.6541965200013
SGM,0.0,110000.0,20,0.95,False,5.0,0.0019227089869673364,20,0,0,670.8493406179296,12000,941.6773598,700.2390353599985
SGM,0.0,120000.0,20,0.95,False,5.0,0.0021123020014783833,20,0,0,654.0263028988738,12000,924.1068234209997,683.294180203
SGM,0.0,130000.0,20,0.95,False,5.0,0.002291146000061417,20,0,0,662.1176237820437,12000,929.1650105000008,691.3415228990016
SGM,0.0,140000.0,20,0.95,False,5.0,0.0024199680046876892,20,0,0,664.7372640971334,12000,962.0834065919989,694.1360242070004
SGM,0.0,150000.0,20,0.95,False,5.0,0.0032802589994389564,20,0,0,736.5537279750861,12000,935.8216221200018,768.7766246739993
SGM,0.0,160000.0,20,0.95,False,5.0,0.0027979189871985,20,0,0,639.9075264062121,12000,938.1801867130016,669.0480763939995
SGM,0.0,170000.0,20,0.95,False,5.0,0.002296690992807271,20,0,0,658.0325903607372,12000,920.8102663870013,687.5414818630015
SGM,0.0,180000.0,20,0.95,False,5.0,0.0027057810038968455,20,0,0,663.0106594478893,12000,892.467553008999,692.5582053889993
SGM,0.0,190000.0,20,0.95,False,5.0,0.0028113760163250845,20,0,0,698.9350771089121,12000,949.6250219020003,730.631385662
SGM,0.0,200000.0,20,0.95,False,5.0,0.0036246070012566634,20,0,0,706.7128958895119,12000,990.6305837440013,738.4634325930019
SGM,0.0,210000.0,20,0.95,False,5.0,0.0029361219712882303,20,0,0,694.5420144625095,12000,981.1207502710022,725.9788099379948
SGM,0.0,220000.0,20,0.95,False,5.0,0.0027686229877872393,20,0,0,671.0967160050495,12000,961.7679221569997,701.3988797679995
SGM,0.0,230000.0,20,0.95,False,5.0,0.002983386024425272,20,0,0,603.6541561304984,12000,935.7739568309989,631.447380010999
SGM,0.0,240000.0,20,0.95,False,5.0,0.0021870570271858014,20,0,0,613.5065079563574,12000,877.8148924839988,642.0330378840008
SGM,0.0,250000.0,20,0.95,False,5.0,0.0027665520101436414,20,0,0,610.3465749834795,12000,850.4496354010043,638.1316112470013
SGM,0.0,260000.0,20,0.95,False,5.0,0.002623099004267715,20,0,0,620.9007711204904,12000,907.5170749780009,649.7159016820005
SGM,0.0,270000.0,20,0.95,False,5.0,0.002171109023038298,20,0,0,621.3417279271525,12000,876.7127492229993,649.965930696002
SGM,0.0,280000.0,20,0.95,False,5.0,0.0021396129741333425,20,0,0,608.0331778914988,12000,854.5045493920043,635.6168789489966
SGM,0.0,290000.0,20,0.95,False,5.0,0.0018128930169041269,20,0,0,627.5366861522853,12000,853.8613225890003,655.7021331760043
SGM,0.0,300000.0,20,0.95,False,5.0,0.0026032859896076843,20,0,0,609.4723365936225,12000,879.3286210799997,637.0975602529943
SGM,0.0,310000.0,20,0.95,False,5.0,0.0020544210128718987,20,0,0,605.445559527252,12000,868.2419919519962,633.2112672219955
SGM,0.0,320000.0,20,0.95,False,5.0,0.0021427580068120733,20,0,0,603.1053930533308,12000,896.3371886000023,630.8559703630017
SGM,0.0,330000.0,20,0.95,False,5.0,0.0019355909826117568,20,0,0,639.2816476096123,12000,853.5724067339979,668.9813215230024
SGM,0.0,340000.0,20,0.95,False,5.0,0.0018970900055137463,20,0,0,604.6994874048614,12000,843.3099180019999,632.1731372460054
SGM,0.0,350000.0,20,0.95,False,5.0,0.0024008369946386665,20,0,0,608.847611522142,12000,841.1287373899977,636.7295895030038
SGM,0.0,360000.0,20,0.95,False,5.0,0.0025185829945257865,20,0,0,597.8196135398903,12000,873.5155509129982,625.3147997959968
SGM,0.0,370000.0,20,0.95,False,5.0,0.0023950130052980967,20,0,0,605.6662732452751,12000,847.9247868750026,633.0516810889967
SGM,0.0,380000.0,20,0.95,False,5.0,0.0029928829899290577,20,0,0,625.8755647307189,12000,864.498923858002,654.5803594060053
