Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,1.0,inf,20,0.95,False,inf,0.0040548030007130365,20,0,0,122.58950133799726,1211,inf,125.56746185999998
SGM,1.0,0.0,20,0.95,False,5.0,0.00587757199969019,20,0,0,204.22395424600495,3039,inf,211.35942775099988
SGM,1.0,5000.0,20,0.95,False,5.0,0.005459737000819587,20,0,0,204.28990907699858,3098,416.140866725,211.54347320500005
SGM,1.0,10000.0,20,0.95,False,5.0,0.005212454999764304,20,0,0,184.9130204339981,2609,445.3241814119999,191.13090087799992
SGM,1.0,15000.0,20,0.95,False,5.0,0.0052035929993508034,20,0,0,185.93820349200905,2656,425.5228493269997,192.21907146400008
SGM,1.0,20000.0,20,0.95,False,5.0,0.0057331450020683405,20,0,0,194.6573937099888,2693,435.1974218380001,201.27968968599998
SGM,1.0,25000.0,20,0.95,False,5.0,0.005186640001738851,20,0,0,198.79354277098537,2698,454.8042394330005,205.52320991499982
SGM,1.0,30000.0,20,0.95,False,5.0,0.0054697149971616454,20,0,0,190.3382277640021,2632,463.1255861360005,196.86217327600025
SGM,1.0,35000.0,20,0.95,False,5.0,0.006417200001124002,20,0,0,202.28425078599412,2667,469.9990906000003,209.18775133799954
SGM,1.0,40000.0,20,0.95,False,5.0,0.006063521997930366,20,0,0,187.22439850299907,2351,495.8818603279997,193.35169898100048
SGM,1.0,45000.0,20,0.95,False,5.0,0.005398443001467967,20,0,0,196.74943703304962,2619,457.6799735880004,203.40030825100075
SGM,1.0,50000.0,20,0.95,False,5.0,0.00549099300042144,20,0,0,194.53444925797157,2961,447.25253899700056,201.43320169300023
