Planner,Success Rate,Cleanup Steps,Evaluation Trials,Difficulty,Priority Cleaning,K-Nearest Filter,Time Searching Graph for Path,Path Planning Attempts,Path Planning Failures,Localization Failures,Time to Choose Action,Action Attempts,Time to Clean Graph,Time to Evaluate Success Rate
SGM,0.0,inf,20,0.95,False,inf,0.0034891600002993073,20,0,0,735.3609423240027,12000,inf,770.244226281
SGM,0.0,0.0,20,0.95,False,5.0,0.003267761000415703,20,0,0,698.7771062919669,12000,inf,731.9574370219998
SGM,0.0,5000.0,20,0.95,False,5.0,0.0031904829997984052,20,0,0,715.9529595949698,12000,463.301494286,750.1028841269999
SGM,0.75,10000.0,20,0.95,False,5.0,0.005264016999717569,20,0,0,559.7830666039808,8988,476.4788462319998,585.4841961929997
SGM,0.85,15000.0,20,0.95,False,5.0,0.00615912700050103,20,0,0,477.19821856498857,8440,422.24432698999954,498.9152028839999
SGM,0.95,20000.0,20,0.95,False,5.0,0.00565521599855856,20,0,0,419.68609600298896,7144,387.9533759400001,438.25749700100005
SGM,0.9,25000.0,20,0.95,False,5.0,0.0073167549990103,20,0,0,458.3146377820276,7334,417.6366864720003,478.6680015519996
SGM,1.0,30000.0,20,0.95,False,5.0,0.00619842800006154,20,0,0,430.64267445991936,7647,407.02209156499976,449.8670230410007
SGM,0.9,35000.0,20,0.95,False,5.0,0.00613516100202105,20,0,0,425.00938114697965,7011,389.335638741999,443.394657932
SGM,0.95,40000.0,20,0.95,False,5.0,0.007238799002152518,20,0,0,452.06734152992794,7460,441.3132225240006,471.7453867429995
SGM,0.95,45000.0,20,0.95,False,5.0,0.006807171997934347,20,0,0,433.6994755929263,7159,418.7674606540004,452.626671607999
SGM,1.0,50000.0,20,0.95,False,5.0,0.006437632006054628,20,0,0,423.6548072129299,7037,422.3296813240013,442.0827687740002
